date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-11,24,23,0.0,11.0,6,19,04:24 AM,03:20 PM,07:11 AM,06:08 PM,17,25,25,23,21,9,69,0.0,1017,24,10,33,16,96822
2010-01-12,24,22,0.0,11.0,6,12,05:17 AM,04:12 PM,07:11 AM,06:08 PM,17,25,25,23,11,1,69,0.0,1017,24,10,154,8,96822
2010-01-13,24,22,0.0,11.0,6,5,06:06 AM,05:06 PM,07:12 AM,06:09 PM,17,25,25,23,20,12,68,0.0,1016,24,10,311,15,96822
2010-01-14,22,21,0.0,11.0,6,0,06:51 AM,05:59 PM,07:12 AM,06:10 PM,15,22,25,22,30,21,67,0.0,1018,22,10,150,23,96822
2010-01-15,23,22,0.0,11.0,6,0,07:32 AM,06:51 PM,07:12 AM,06:10 PM,17,25,25,23,24,20,71,0.0,1018,23,10,76,18,96822
2010-01-16,24,23,0.0,11.0,6,2,08:08 AM,07:42 PM,07:12 AM,06:11 PM,18,25,25,23,20,24,73,0.0,1016,24,10,63,14,96822
2010-01-17,24,23,0.0,11.0,6,10,08:43 AM,08:31 PM,07:12 AM,06:12 PM,19,25,25,23,21,46,76,0.0,1016,24,10,28,15,96822
2010-01-18,24,23,0.0,11.0,6,17,09:15 AM,09:20 PM,07:12 AM,06:12 PM,19,25,25,23,25,31,77,0.0,1016,24,10,45,18,96822
2010-01-19,24,23,0.0,11.0,6,24,09:47 AM,10:09 PM,07:11 AM,06:13 PM,19,25,25,23,25,16,76,0.0,1017,24,10,42,18,96822
2010-01-20,23,22,0.0,8.6,5,31,10:19 AM,10:59 PM,07:11 AM,06:14 PM,19,25,25,23,37,36,77,0.4,1019,23,10,43,28,96822
2010-01-21,23,22,0.0,11.0,6,39,10:52 AM,11:50 PM,07:11 AM,06:14 PM,17,25,25,23,35,14,72,0.0,1018,23,10,84,26,96822
2010-01-22,24,22,0.0,11.0,6,46,11:29 AM,No moonset,07:11 AM,06:15 PM,16,25,25,23,7,5,65,0.0,1015,24,10,228,5,96822
2010-01-23,25,24,0.0,11.1,6,53,12:09 PM,12:45 AM,07:11 AM,06:16 PM,19,26,26,24,19,16,74,0.0,1014,25,10,209,13,96822
2010-01-24,24,24,0.0,11.1,6,60,12:55 PM,01:43 AM,07:11 AM,06:16 PM,19,26,26,24,6,24,74,0.0,1014,24,10,203,4,96822
2010-01-25,24,23,0.0,11.1,6,68,01:48 PM,02:43 AM,07:11 AM,06:17 PM,19,26,26,24,14,12,75,0.0,1013,24,10,142,10,96822
2010-01-26,25,24,0.0,8.6,5,75,02:48 PM,03:46 AM,07:10 AM,06:18 PM,22,27,27,25,32,45,85,1.6,1011,25,10,201,22,96822
2010-01-27,24,23,0.0,10.1,5,82,03:54 PM,04:48 AM,07:10 AM,06:18 PM,20,25,25,23,26,50,80,1.0,1013,24,10,133,18,96822
2010-01-28,24,23,0.0,10.1,5,90,05:03 PM,05:47 AM,07:10 AM,06:19 PM,20,25,25,23,24,56,80,0.2,1014,24,10,58,17,96822
2010-01-29,24,23,0.0,10.1,5,97,06:12 PM,06:40 AM,07:10 AM,06:19 PM,20,25,25,23,11,46,83,2.4,1014,24,10,233,7,96822
2010-01-30,24,23,0.0,5.6,5,100,07:19 PM,07:29 AM,07:09 AM,06:20 PM,20,25,25,23,20,76,85,4.0,1012,24,10,70,15,96822
2010-01-31,25,23,0.0,11.1,6,100,08:23 PM,08:13 AM,07:09 AM,06:21 PM,21,26,26,24,23,28,83,0.6,1012,25,10,63,16,96822
2010-02-01,24,23,0.0,11.1,6,77,09:25 PM,08:55 AM,07:09 AM,06:21 PM,20,26,26,24,6,14,80,0.0,1011,24,10,157,4,96822
2010-02-02,24,23,0.0,8.6,5,69,10:25 PM,09:35 AM,07:08 AM,06:22 PM,20,25,25,23,24,48,80,5.4,1012,24,10,262,17,96822
2010-02-03,22,21,0.0,11.2,6,62,11:26 PM,10:15 AM,07:08 AM,06:23 PM,16,21,24,21,37,40,70,0.0,1015,22,10,145,29,96822
2010-02-04,22,21,0.0,10.1,5,54,No moonrise,10:56 AM,07:07 AM,06:23 PM,16,21,24,21,34,51,71,0.0,1016,22,10,60,26,96822
2010-02-05,23,22,0.0,11.2,6,47,12:24 AM,11:40 AM,07:07 AM,06:24 PM,17,25,25,23,22,23,69,0.0,1016,23,10,95,16,96822
2010-02-06,24,23,0.0,11.2,6,39,01:23 AM,12:27 PM,07:07 AM,06:24 PM,16,25,25,23,9,9,66,0.0,1017,24,10,91,6,96822
2010-02-07,24,23,0.0,11.2,6,32,02:19 AM,01:16 PM,07:06 AM,06:25 PM,18,25,25,23,19,3,72,0.0,1018,24,10,44,14,96822
2010-02-08,24,23,0.0,11.2,6,24,03:13 AM,02:08 PM,07:06 AM,06:25 PM,19,25,25,24,29,4,75,0.0,1019,24,10,67,21,96822
2010-02-09,24,23,0.0,11.2,6,16,04:03 AM,03:01 PM,07:05 AM,06:26 PM,18,25,25,24,24,7,71,0.0,1019,24,10,75,17,96822
2010-02-10,24,22,0.0,11.2,6,9,04:49 AM,03:54 PM,07:05 AM,06:27 PM,17,25,25,23,25,1,70,0.0,1020,24,10,115,18,96822
2010-02-11,23,23,0.0,7.1,5,1,05:31 AM,04:46 PM,07:04 AM,06:27 PM,19,25,25,23,40,69,77,0.2,1019,23,9,49,29,96822
2010-02-12,23,23,0.0,10.1,5,0,06:09 AM,05:38 PM,07:03 AM,06:28 PM,18,25,25,23,30,52,76,0.3,1018,23,10,48,22,96822
2010-02-13,23,22,0.0,11.3,6,0,06:44 AM,06:27 PM,07:03 AM,06:28 PM,18,25,25,23,28,27,75,0.1,1017,23,10,45,20,96822
2010-02-14,24,22,0.0,11.3,6,0,07:18 AM,07:17 PM,07:02 AM,06:29 PM,18,25,25,23,27,24,74,0.0,1017,24,10,51,19,96822
2010-02-15,24,22,0.0,11.3,6,6,07:50 AM,08:06 PM,07:02 AM,06:29 PM,18,25,25,23,24,6,72,0.0,1018,24,10,58,17,96822
2010-02-16,24,22,0.0,10.1,5,13,08:21 AM,08:55 PM,07:01 AM,06:30 PM,17,25,25,23,24,17,72,0.1,1017,24,10,314,18,96822
2010-02-17,21,20,0.0,10.1,5,21,08:54 AM,09:46 PM,07:00 AM,06:30 PM,16,21,22,21,38,49,72,0.4,1019,21,8,63,30,96822
2010-02-18,21,20,0.0,7.1,5,29,09:29 AM,10:39 PM,07:00 AM,06:31 PM,15,21,22,21,29,66,70,0.2,1019,21,10,42,22,96822
2010-02-19,22,20,0.0,7.3,5,36,10:07 AM,11:34 PM,06:59 AM,06:31 PM,17,21,22,21,26,75,77,1.1,1019,22,10,49,20,96822
2010-02-20,24,22,0.0,11.6,6,44,10:50 AM,No moonset,06:58 AM,06:32 PM,17,25,25,23,22,15,72,0.0,1020,24,10,71,16,96822
2010-02-21,23,22,0.0,11.6,6,51,11:39 AM,12:32 AM,06:58 AM,06:32 PM,18,25,25,23,8,20,74,0.0,1019,23,10,67,6,96822
