date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-11,27,21,0.0,10.2,6,19,02:25 AM,02:56 PM,06:02 AM,06:14 PM,20,26,26,24,14,53,78,0.0,1010,27,10,238,9,Palolo
2010-01-12,27,21,0.0,8.8,5,12,03:18 AM,03:49 PM,06:02 AM,06:15 PM,21,26,26,24,10,56,84,2.8,1011,27,9,273,7,Palolo
2010-01-13,24,22,0.0,6.1,5,5,04:09 AM,04:40 PM,06:03 AM,06:15 PM,22,25,25,23,9,67,93,1.5,1011,24,7,289,6,Palolo
2010-01-14,25,22,0.0,7.4,5,0,05:00 AM,05:30 PM,06:03 AM,06:15 PM,22,26,26,23,9,75,94,6.9,1012,25,8,277,6,Palolo
2010-01-15,26,22,0.0,10.2,5,0,05:50 AM,06:17 PM,06:03 AM,06:16 PM,22,26,26,23,12,61,90,3.0,1012,26,8,246,8,Palolo
2010-01-16,27,21,0.0,11.6,5,2,06:36 AM,07:01 PM,06:04 AM,06:16 PM,21,26,26,24,11,37,84,2.0,1011,27,10,254,8,Palolo
2010-01-17,28,21,0.0,11.6,6,10,07:21 AM,07:44 PM,06:04 AM,06:16 PM,21,27,27,24,12,33,80,1.7,1011,28,10,224,8,Palolo
2010-01-18,29,21,0.0,11.6,6,17,08:03 AM,08:24 PM,06:05 AM,06:17 PM,20,27,27,25,9,27,78,2.5,1011,29,10,239,5,Palolo
2010-01-19,29,21,0.0,8.8,6,24,08:44 AM,09:04 PM,06:05 AM,06:17 PM,21,27,27,24,10,44,83,6.1,1012,29,10,219,6,Palolo
2010-01-20,27,21,0.0,11.6,5,31,09:25 AM,09:43 PM,06:05 AM,06:17 PM,22,26,26,24,10,49,87,6.5,1013,27,10,252,6,Palolo
2010-01-21,24,22,0.0,8.8,5,39,10:06 AM,10:24 PM,06:06 AM,06:17 PM,22,26,26,23,8,55,92,7.8,1013,24,8,228,5,Palolo
